time,temperature_2m_max,temperature_2m_mean,temperature_2m_min,dew_point_2m_max,dew_point_2m_mean,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,surface_pressure_max,surface_pressure_mean,surface_pressure_min,wind_speed_10m_max,wind_speed_10m_mean,wind_speed_10m_min,precipitation_sum
2006-04-17,30.8,28.3,26.9,24.9,24.6,24.2,88,81,71,1009.3,1007.4,1005.2,17.7,14.7,8.2,3.4
2006-04-18,30.7,28.2,26.8,24.7,24.4,23.9,88,80,68,1009.2,1007.4,1006.0,17.7,14.0,10.0,2.0
2006-04-19,29.3,27.3,26.5,24.7,24.4,23.8,88,84,76,1011.3,1008.9,1007.1,18.0,12.5,5.9,6.8
2006-04-20,29.8,27.4,26.6,24.9,24.4,23.8,88,84,74,1011.5,1009.7,1007.7,16.3,11.9,6.2,5.8
2006-04-21,29.6,27.5,26.1,24.7,24.4,24.2,90,83,75,1011.9,1010.0,1008.1,18.2,14.1,8.2,6.7
2006-04-22,30.5,28.2,26.5,24.5,24.0,23.5,87,78,67,1011.7,1009.7,1007.8,17.4,13.3,10.0,0.0
2006-04-23,30.5,28.1,26.4,25.0,24.6,24.2,90,82,73,1010.5,1008.4,1006.0,16.3,12.1,8.7,3.1
2006-04-24,29.1,27.5,26.0,24.8,24.5,24.1,91,84,76,1010.8,1008.4,1006.6,12.8,10.7,8.4,7.8
2006-04-25,28.3,26.5,25.1,24.8,24.2,23.5,93,88,78,1011.5,1008.6,1006.3,12.3,6.0,1.4,9.2
2006-04-26,30.3,27.8,25.7,24.9,24.0,23.3,94,80,66,1009.0,1007.5,1005.5,11.4,9.0,5.8,0.0
2006-04-27,29.1,27.3,26.1,25.5,24.6,24.2,90,85,77,1010.1,1007.7,1006.3,14.5,9.6,5.3,12.1
2006-04-28,30.2,27.6,26.3,25.0,24.8,24.5,91,85,73,1009.4,1007.6,1005.7,15.1,11.2,4.1,9.0
2006-04-29,29.0,27.2,26.3,25.3,24.7,24.3,91,86,77,1009.0,1007.5,1005.8,16.0,11.9,4.4,6.5
2006-04-30,30.0,27.2,25.2,25.3,24.7,24.2,95,87,74,1010.2,1008.3,1007.0,17.5,10.6,3.4,14.6
2006-05-01,29.8,27.1,25.4,25.5,24.8,24.4,95,87,77,1010.6,1009.0,1007.7,17.1,9.4,3.1,8.6
2006-05-02,29.9,27.6,25.4,25.3,24.7,24.2,95,85,74,1011.5,1009.8,1008.0,15.8,9.6,4.2,2.4
2006-05-03,30.2,27.8,26.0,25.2,24.9,24.7,93,84,73,1011.0,1009.2,1007.5,17.1,12.1,6.4,6.5
2006-05-04,29.1,27.6,26.5,25.1,24.8,24.0,91,85,77,1010.4,1008.2,1005.9,15.8,12.9,9.8,7.2
2006-05-05,29.2,27.3,25.9,25.0,24.8,24.5,92,86,78,1009.6,1007.8,1006.2,14.4,10.8,5.9,9.4
2006-05-06,28.3,27.2,25.4,25.4,24.8,24.1,93,87,81,1010.3,1007.8,1005.7,14.5,10.4,7.3,9.7
2006-05-07,29.2,27.5,25.6,25.1,24.8,24.4,95,86,77,1009.9,1008.1,1006.8,14.2,8.3,2.1,1.0
2006-05-08,29.9,27.1,25.3,25.7,24.8,24.0,96,87,76,1009.5,1007.6,1005.7,15.1,8.8,3.6,17.7
2006-05-09,30.2,27.6,25.5,25.7,24.8,24.4,94,85,74,1010.5,1008.0,1005.6,18.8,12.1,7.4,1.0
2006-05-10,28.2,26.8,25.5,24.8,24.3,23.7,91,86,79,1011.3,1008.7,1006.6,14.1,10.4,5.5,7.5
2006-05-11,29.0,26.9,24.8,24.8,24.2,23.8,96,86,75,1011.1,1009.2,1007.6,11.2,6.4,1.1,2.9
2006-05-12,29.0,27.1,25.0,25.1,24.4,23.6,94,85,77,1012.3,1010.5,1008.5,15.8,10.3,5.4,6.6
2006-05-13,28.7,26.8,25.4,24.9,24.3,23.4,92,86,79,1013.3,1011.2,1009.3,13.4,10.3,5.4,10.7
2006-05-14,29.3,27.2,25.2,24.6,24.2,23.8,95,84,74,1013.1,1011.1,1009.2,15.4,10.3,5.6,1.7
2006-05-15,28.0,26.0,24.9,24.7,23.9,23.4,92,88,82,1012.7,1010.7,1008.8,14.6,10.6,3.3,17.0
2006-05-16,26.3,25.4,24.5,24.0,23.6,23.1,96,90,84,1013.0,1011.2,1010.2,9.8,4.9,1.1,20.2
2006-05-17,27.7,25.9,24.1,23.9,23.5,23.1,96,87,78,1013.4,1011.6,1010.4,11.3,7.0,2.1,5.4
2006-05-18,28.2,26.2,24.3,24.8,23.9,23.3,96,87,79,1014.3,1011.8,1009.8,12.6,7.3,4.1,4.6
2006-05-19,27.9,26.0,24.5,24.5,23.8,23.5,95,88,78,1012.7,1010.6,1008.4,15.3,9.8,6.2,9.1
2006-05-20,25.5,24.7,23.8,24.0,23.3,22.6,95,92,89,1012.8,1011.0,1009.6,12.7,9.0,4.8,46.3
2006-05-21,27.6,25.8,24.2,23.9,23.5,22.8,93,87,79,1013.2,1011.3,1009.3,12.8,8.5,2.6,16.2
2006-05-22,28.9,26.5,24.5,25.1,24.1,23.4,95,87,80,1014.6,1012.2,1010.7,11.6,7.5,3.5,10.2
2006-05-23,28.3,26.4,24.9,25.3,24.2,23.7,95,88,82,1014.2,1012.4,1010.4,14.3,7.4,2.2,5.4
